rowid;entity;ref_ext;ref_int;admin;employee;fk_establishment;datec;tms;fk_user_creat;fk_user_modif;login;pass_encoding;pass;pass_crypted;pass_temp;api_key;gender;civility;lastname;firstname;address;zip;town;fk_state;fk_country;birth;job;office_phone;office_fax;user_mobile;personal_mobile;email;personal_email;signature;socialnetworks;fk_soc;fk_socpeople;fk_member;fk_user;fk_user_expense_validator;fk_user_holiday_validator;idpers1;idpers2;idpers3;note_public;note;model_pdf;datelastlogin;datepreviouslogin;datelastpassvalidation;datestartvalidity;dateendvalidity;iplastlogin;ippreviouslogin;egroupware_id;ldap_sid;openid;statut;photo;lang;color;barcode;fk_barcode_type;accountancy_code;nb_holiday;thm;tjm;salary;salaryextra;dateemployment;dateemploymentend;weeklyhours;import_key;default_range;default_c_exp_tax_cat;fk_warehouse
7027;1;NULL;NULL;1;1;0;NULL;2024-03-11 16:20:33;NULL;NULL;qNFfs999;NULL;hcsgTIfZPFgXyEwcknek;NULL;NULL;NULL;NULL;NULL;Hays;Jackson;663 Caitlin Plaza Apt. 764;01787;West Karen;0;0;2024-03-11;Clinical molecular geneticist at Carlson, Yoder and Oneal;(888)513-5900;NULL;NULL;NULL;jackson.hays@wiley.com;richardsonsandra@haley-rogers.org;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1613;1;NULL;NULL;0;0;0;NULL;2024-03-11 16:20:33;NULL;NULL;dPSLt901;NULL;zSrJekGPNFSujpNluDoI;NULL;NULL;NULL;NULL;NULL;Marshall;Paula;75243 Sanchez Plains;32344;North Lynnbury;0;0;2024-03-11;Industrial/product designer at Watkins, Rodriguez and Johnson;460.532.7972x347;NULL;NULL;NULL;paula.marshall@travis-williams.com;parkergregory@walker.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6200;1;NULL;NULL;1;0;0;NULL;2024-03-11 16:20:33;NULL;NULL;LbiSS392;NULL;IqdkytTYriAhLHzBojAg;NULL;NULL;NULL;NULL;NULL;Thompson;Cody;81448 Gary Street;27144;Campbellburgh;0;0;2024-03-11;Chartered public finance accountant at Freeman, Hawkins and Spencer;(543)879-0814x632;NULL;NULL;NULL;cody.thompson@green-bonilla.com;moorechristina@johnson-cisneros.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7818;1;NULL;NULL;0;1;0;NULL;2024-03-11 16:20:33;NULL;NULL;SCwgd530;NULL;VQKsAgDwvmUkDykcjWej;NULL;NULL;NULL;NULL;NULL;Moore;Brandon;2922 Collins Drive;34109;Scottport;0;0;2024-03-11;Paediatric nurse at Payne Group;650-401-4600x38246;NULL;NULL;NULL;brandon.moore@beasley.com;hailey21@koch.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1512;1;NULL;NULL;0;0;0;NULL;2024-03-11 16:20:33;NULL;NULL;PhDVp761;NULL;SSKzwGWusRZlGLjnjOJi;NULL;NULL;NULL;NULL;NULL;Bryan;Matthew;61768 Robles Ramp;91786;Lake Aaron;0;0;2024-03-11;Surveyor, building at Anderson-George;+87(9)1862694925;NULL;NULL;NULL;matthew.bryan@hill-wilson.com;brendanwhite@moreno.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7927;1;NULL;NULL;1;0;0;NULL;2024-03-11 16:20:33;NULL;NULL;zbXMe654;NULL;KDfTRpajBFxLSMryRYfb;NULL;NULL;NULL;NULL;NULL;Peterson;Joanna;0865 Rebekah Circle Suite 942;17994;Lake Debra;0;0;2024-03-11;Animator at Wood Ltd;683-636-6814x871;NULL;NULL;NULL;joanna.peterson@willis.com;rodriguezholly@foster.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2004;1;NULL;NULL;1;1;0;NULL;2024-03-11 16:20:33;NULL;NULL;LicdI545;NULL;wAhqdzwizuwnIFDtEibJ;NULL;NULL;NULL;NULL;NULL;Miller;Jennifer;036 Reed Lane Apt. 166;21231;New Bettyside;0;0;2024-03-11;Nurse, adult at Cruz-Villanueva;(867)488-2526;NULL;NULL;NULL;jennifer.miller@rice.com;nphillips@rogers.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9825;1;NULL;NULL;1;0;0;NULL;2024-03-11 16:20:33;NULL;NULL;NvCDB562;NULL;oIiBotAhJXqLQRntDqQO;NULL;NULL;NULL;NULL;NULL;Bautista;Henry;71727 Williams Cliff;74620;Susanside;0;0;2024-03-11;Diagnostic radiographer at Anderson Group;890.295.0255x50325;NULL;NULL;NULL;henry.bautista@smith-patterson.com;jennifer65@warren-fox.net;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1513;1;NULL;NULL;0;0;0;NULL;2024-03-11 16:20:33;NULL;NULL;dyONZ925;NULL;XxxTpeFuQKgjNOUJsqdT;NULL;NULL;NULL;NULL;NULL;Brooks;Laura;927 Kaylee Valleys;25719;West Anthonymouth;0;0;2024-03-11;Hospital doctor at Brady-Malone;04004759590;NULL;NULL;NULL;laura.brooks@lee-woods.org;kendra96@anderson.com;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9635;1;NULL;NULL;1;1;0;NULL;2024-03-11 16:20:33;NULL;NULL;DbCRN749;NULL;CuTSyZYGPsDCLxuavpWb;NULL;NULL;NULL;NULL;NULL;Keith;Kristen;514 Peter Streets Suite 766;89270;New Michael;0;0;2024-03-11;Engineer, chemical at Hodges-Moore;801.666.3978;NULL;NULL;NULL;kristen.keith@stephens-love.org;sharon05@garcia.org;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
